sepal_length,sepal_width,petal_length,petal_width,species_pred,setosa,versicolor,virginica
5.5,2.5,4.0,1.3,versicolor,0.0081,0.9591,0.0327
6.9,3.1,5.1,2.3,virginica,0.0128,0.0235,0.9637
5.1,2.5,3.0,1.1,versicolor,0.0343,0.9464,0.0193
4.4,2.9,,0.2,setosa,0.6351,0.2795,0.0854
5.9,3.0,5.1,1.8,virginica,0.0143,0.2153,0.7704
5.5,3.5,1.3,0.2,setosa,0.9583,0.0225,0.0192
5.6,,3.6,1.3,versicolor,0.0483,0.936,0.0157
6.5,3.0,5.2,2.0,virginica,0.011,0.0436,0.9455
5.3,3.7,1.5,0.2,setosa,0.963,0.0203,0.0168
5.1,3.4,1.5,,setosa,0.8122,0.1321,0.0557
6.1,2.8,4.0,1.3,versicolor,0.0131,0.9755,0.0115
5.5,2.4,3.7,1.0,versicolor,0.0135,0.9759,0.0106
7.7,3.0,6.1,2.3,virginica,0.0187,0.0229,0.9584
6.9,3.1,4.9,1.5,versicolor,0.019,0.721,0.2599
6.0,2.2,5.0,1.5,versicolor,0.0209,0.5649,0.4142
