sepal_length,sepal_width,petal_length,petal_width,species_pred,setosa,versicolor,virginica
5.5,2.5,4.0,1.3,versicolor,0.019329272699868453,0.8825375940048064,0.0981331332953253
6.9,3.1,5.1,2.3,virginica,0.00018031539046413144,0.06762210525270691,0.932197579356829
5.1,2.5,3.0,1.1,versicolor,0.0973213050986133,0.8918684866279774,0.010810208273409378
4.4,2.9,,0.2,setosa,0.7457093399965272,0.2541162914753863,0.00017436852808658972
5.9,3.0,5.1,1.8,virginica,0.005905419319412959,0.331763397359324,0.662331183321263
5.5,3.5,1.3,0.2,setosa,0.9632968868415898,0.036702608442462745,5.047159473967098e-07
5.6,,3.6,1.3,versicolor,0.16068375636455473,0.8116775695171922,0.02763867411825319
6.5,3.0,5.2,2.0,virginica,0.0007556054082709198,0.1556774162008805,0.8435669783908486
5.3,3.7,1.5,0.2,setosa,0.9851754480764457,0.014824346310759606,2.0561279481499816e-07
5.1,3.4,1.5,,setosa,0.8870274580576727,0.11288670349773679,8.583844459068503e-05
6.1,2.8,4.0,1.3,versicolor,0.02303675282556577,0.8975060580402842,0.07945718913415
5.5,2.4,3.7,1.0,versicolor,0.02629075692113189,0.9480583304942474,0.025650912584620718
7.7,3.0,6.1,2.3,virginica,3.406474990028e-06,0.013453409876324108,0.9865431836486859
6.9,3.1,4.9,1.5,versicolor,0.005758804085507564,0.645418037868986,0.3488231580455064
6.0,2.2,5.0,1.5,virginica,0.0004933498873690247,0.4043525605797112,0.5951540895329198
